U_In-5p,U_Sb-5p,Eg(eV)
-1.74,3.41,0.23290711905347938
-1.73,3.41,0.234254523519432
-1.72,3.41,0.23560192798777047
-1.71,3.41,0.23695945231000026
-1.71,3.4,0.2337022788338865
-1.7,3.4,0.23506750393220122
-1.69,3.4,0.23643272901466683
-1.69,3.39,0.233175555565735
-1.68,3.39,0.23454078064140038
-1.67,3.39,0.23590600573250198
-1.66,3.39,0.2372533979839151
-1.66,3.38,0.23400004764652382
-1.65,3.38,0.23536645479142893
-1.64,3.38,0.23673286193959964
-1.64,3.37,0.23347951159357683
-1.63,3.37,0.234845918736455
-1.62,3.37,0.23618348485570195
-1.62,3.36,0.2329328006416791
-1.61,3.36,0.2343123286497013
-1.6,3.36,0.23567072594762173
-1.59,3.36,0.23702912324554193
-1.59,3.35,0.23379703594270085
-1.58,3.35,0.23515543324797128
-1.57,3.35,0.23651383055376374
-1.57,3.34,0.2332859524440679
-1.56,3.34,0.23464250978526713
-1.55,3.34,0.23599906712646668
-1.55,3.33,0.23276512172637198
-1.54,3.33,0.23412167906137138
-1.53,3.33,0.23547823639669274
-1.53,3.32,0.23274341467892246
-1.52,3.32,0.23423920252196795
-1.51,3.32,0.23573499073786197
-1.5,3.32,0.23681135616969184
-1.5,3.31,0.23323787679741748
-1.49,3.31,0.23485670350972798
-1.48,3.31,0.2364755302220386
-1.48,3.3,0.2329020508816999
-1.47,3.3,0.23452087761677454
-1.46,3.3,0.23615026022555985
-1.46,3.29,0.232469855867816
-1.45,3.29,0.23428915302645992
-1.44,3.29,0.23610845016255477
-1.44,3.28,0.23242804612458468
-1.43,3.28,0.2342473432079617
-1.42,3.28,0.23596200306799808
-1.42,3.27,0.23229071952550118
-1.41,3.27,0.23416267119902234
-1.4,3.27,0.23603462200973535
-1.39,3.27,0.237706147381894
-1.39,3.26,0.23351079027056243
-1.38,3.26,0.2354703237178455
-1.37,3.26,0.23742985711897147
-1.37,3.25,0.23301805416076782
-1.36,3.25,0.23516905081388018
-1.35,3.25,0.23732004742958424
-1.35,3.24,0.2330166575690269
-1.34,3.24,0.23516765367896708
-1.33,3.24,0.23731865075000758
-1.33,3.23,0.2330152608627858
-1.32,3.23,0.23465762780651178
-1.31,3.23,0.2364098546357336
-1.31,3.22,0.23240546834544729
-1.3,3.22,0.23415769578022538
-1.29,3.22,0.23652303366364147
-1.29,3.21,0.23301486937180105
-1.28,3.21,0.23468159162980418
-1.27,3.21,0.23634831372677478
-1.27,3.2,0.23302413522881504
-1.26,3.2,0.23444798360673813
-1.25,3.2,0.23587183198484984
-1.24,3.2,0.23729568036212612
-1.24,3.19,0.23390937292751723
-1.23,3.19,0.23533322112417465
-1.22,3.19,0.2367570693208323
-1.22,3.18,0.23290112832787147
-1.21,3.18,0.23404793812543212
-1.2,3.18,0.23519474804624485
-1.19,3.18,0.2363415580198851
-1.19,3.17,0.23319597557339966
-1.18,3.17,0.2343427853499408
-1.18,3.18,0.2356742440765186
-1.17,3.18,0.2364678016729561
-1.17,3.17,0.234136571362354
-1.16,3.17,0.2349301281585151
-1.16,3.16,0.23368974595603048
-1.15,3.16,0.23419769195874396
-1.14,3.16,0.23470563793214966
-1.13,3.16,0.23521358397504322
-1.12,3.16,0.2357215299938309
-1.11,3.16,0.2361358023558105
-1.11,3.15,0.23385182903820484
-1.1,3.15,0.2343358507929017
-1.09,3.15,0.23481987254759867
-1.08,3.15,0.23530389425188114
-1.07,3.15,0.2357879160162728
-1.07,3.14,0.23491806652554592
-1.06,3.14,0.23568516017160035
-1.05,3.14,0.23645225256337254
-1.05,3.13,0.23410287037377864
-1.04,3.13,0.2348699626137567
-1.04,3.12,0.23315897920048312
-1.03,3.12,0.23454778854552671
-1.02,3.12,0.23593659750608864
-1.02,3.11,0.23275067200673294
-1.01,3.11,0.2335815911212965
-1.0,3.11,0.23517228561405046
-0.99,3.11,0.23676298015837327
-0.99,3.1,0.23373818923484246
