U_Ga-4p,U_As-4p,Eg(eV)
-4.2,6.03,1.5179107149512385
-4.19,6.03,1.5192506311467735
-4.18,6.03,1.5205905471738617
-4.18,6.02,1.5172180191874411
-4.17,6.02,1.5185610988264355
-4.16,6.02,1.519904178464695
-4.15,6.02,1.521242020410818
-4.15,6.01,1.5178631384259489
-4.14,6.01,1.5192085405157658
-4.13,6.01,1.520553942598386
-4.13,6.0,1.5171750607381647
-4.12,6.0,1.5185204628251763
-4.11,6.0,1.5198684241082834
-4.1,6.0,1.5212161659304995
-4.1,5.99,1.5178396187250596
-4.09,5.99,1.5191873605470834
-4.08,5.99,1.5205351023691072
