U_In-5p,U_As-4p,Eg(eV)
0.09,2.9,0.4160017991699191
0.1,2.9,0.41721923051813803
0.11,2.9,0.41843666187252926
0.11,2.89,0.41512418721046584
0.12,2.89,0.4163416185656542
0.13,2.89,0.41755904992738024
0.14,2.89,0.41878084815709027
0.14,2.88,0.4154670382847794
0.15,2.88,0.41669112700281863
0.16,2.88,0.4179152157219672
0.17,2.88,0.4191393044411158
0.17,2.87,0.4158210584501493
0.18,2.87,0.41704371427624476
0.19,2.87,0.41826637010080203
0.19,2.86,0.4149500746748289
0.2,2.86,0.416175678383905
0.21,2.86,0.41740128209103566
0.22,2.86,0.4186268857974055
0.22,2.85,0.4153198412305057
0.23,2.85,0.41654544493726253
0.24,2.85,0.41774243248649934
0.25,2.85,0.41896207699818466
0.25,2.84,0.4156493992376402
0.26,2.84,0.416869043747372
0.27,2.84,0.4180886882537087
0.27,2.83,0.41477601049857304
0.28,2.83,0.41597805385743125
0.29,2.83,0.41719413106393977
0.3,2.83,0.4184102082434714
0.3,2.82,0.4150973383888533
0.31,2.82,0.41633584958724335
0.32,2.82,0.4175438043266123
0.33,2.82,0.41875175906371676
0.33,2.81,0.4154494022679813
0.34,2.81,0.41668643278943496
0.35,2.81,0.41789108655850615
0.36,2.81,0.4190957403226355
0.36,2.8,0.4158100298457602
0.37,2.8,0.41701468361216487
0.38,2.8,0.41821933737934347
0.38,2.79,0.41495077539751324
0.39,2.79,0.4161596778968476
0.4,2.79,0.417368580397065
0.41,2.79,0.4185774828869813
0.41,2.78,0.41529583142390025
0.42,2.78,0.4165047339269603
0.43,2.78,0.4177209886682204
0.44,2.78,0.41893213289623316
0.44,2.77,0.4156315555851393
0.45,2.77,0.41685459134940245
0.46,2.77,0.41807762711475266
0.46,2.76,0.4148012183614895
0.47,2.76,0.4160242541264902
0.48,2.76,0.417247289891496
0.49,2.76,0.4184747771748294
0.49,2.75,0.4151971744353442
0.5,2.75,0.41642326864859236
0.51,2.75,0.41764936286193016
0.52,2.75,0.4188754570776021
0.52,2.74,0.41559785433733315
0.53,2.74,0.41682394855020993
0.54,2.74,0.4180623001938947
0.54,2.73,0.4147817674411586
0.55,2.73,0.41601251077929036
0.56,2.73,0.41724325411754737
0.57,2.73,0.41847399745720687
0.57,2.72,0.41520632769901344
0.58,2.72,0.416441310690429
0.59,2.72,0.4176762936808091
0.6,2.72,0.4189079388981015
0.6,2.71,0.41563213524155473
0.61,2.71,0.41686906678179725
0.62,2.71,0.41810599831791356
0.62,2.7,0.4148301946651954
0.63,2.7,0.41606712620354913
0.64,2.7,0.41730923323323366
0.65,2.7,0.4185499702264387
0.65,2.69,0.4152779775272736
0.66,2.69,0.4165187145169386
0.67,2.69,0.41775945150614574
0.68,2.69,0.41900018849536524
0.68,2.68,0.4157375777873279
0.69,2.68,0.4169804183748317
0.7,2.68,0.4182232589615352
0.7,2.67,0.41495899260910674
0.71,2.67,0.41620438180702346
