U_Ga-4p,U_As-4p,Eg(eV)
-0.91,4.55,1.5206381730446583
-0.91,4.54,1.5174903668101951
-0.9,4.54,1.519085315734683
-0.89,4.54,1.5206030072565204
-0.89,4.53,1.517455826159055
-0.88,4.53,1.5190458686559192
-0.87,4.53,1.5206359111463397
-0.87,4.52,1.5174887300773734
-0.86,4.52,1.5190787727118382
-0.85,4.52,1.5207560057277576
-0.85,4.51,1.5175472656102593
-0.84,4.51,1.5191730158512162
-0.83,4.51,1.520877089700241
-0.83,4.5,1.5177116065111864
-0.82,4.5,1.5193262052727596
-0.81,4.5,1.5209408039330556
-0.81,4.49,1.5177753204101072
-0.8,4.49,1.5193899193028868
-0.79,4.49,1.521057090071528
-0.79,4.48,1.5178915232920498
-0.78,4.48,1.5195592433548828
-0.77,4.48,1.5212269634514255
-0.77,4.47,1.5180613966330287
-0.76,4.47,1.5196406461995935
-0.75,4.47,1.521318715529136
-0.75,4.46,1.5181176871795687
-0.74,4.46,1.5197957563859916
-0.73,4.46,1.5214338549693687
-0.73,4.45,1.5181918710400175
-0.72,4.45,1.5199240044389966
-0.72,4.44,1.5166820205795255
-0.71,4.44,1.5184141539203664
-0.7,4.44,1.5201462872612075
-0.7,4.43,1.516907492678959
-0.69,4.43,1.518608597694634
-0.68,4.43,1.5203097027631407
-0.68,4.42,1.5170781143198757
-0.67,4.42,1.5187792193622862
-0.66,4.42,1.5205381566230134
-0.66,4.41,1.5172179591458699
-0.65,4.41,1.5189356544752697
-0.64,4.41,1.5206533498615546
-0.64,4.4,1.517382704447816
-0.63,4.4,1.5191027023208197
-0.62,4.4,1.5208227002344885
-0.62,4.39,1.5175020788674358
-0.61,4.39,1.5192220767031674
-0.6,4.39,1.5209420746442568
-0.6,4.38,1.5176858610695128
-0.59,4.38,1.5194239440682542
-0.58,4.38,1.5211620270567543
-0.58,4.37,1.5178030701418384
-0.57,4.37,1.5195577547663408
-0.56,4.37,1.5213124393725885
-0.56,4.36,1.5179757483555463
-0.55,4.36,1.5197304330289276
-0.54,4.36,1.5214851177116189
-0.54,4.35,1.518130086554875
-0.53,4.35,1.5198961689637105
-0.53,4.34,1.5165597278515384
-0.52,4.34,1.5183258102614947
-0.51,4.34,1.5200918926559124
-0.51,4.33,1.5167554515534127
-0.5,4.33,1.5185264682062156
-0.49,4.33,1.5202930663924035
-0.49,4.32,1.5169508606195505
-0.48,4.32,1.5187174588038734
-0.47,4.32,1.520486370701864
-0.47,4.31,1.5171481282707997
-0.46,4.31,1.5189134553736598
-0.45,4.31,1.5206787824765204
-0.45,4.3,1.5173405400232558
-0.44,4.3,1.5191058671172255
-0.43,4.3,1.5208677118497402
-0.43,4.29,1.517529493629968
-0.42,4.29,1.5192943546583386
-0.41,4.29,1.5210592156791236
-0.41,4.28,1.5177209974517638
-0.4,4.28,1.5194858584731141
-0.39,4.28,1.521247852899656
-0.39,4.27,1.517911890951639
-0.38,4.27,1.5196742520222277
-0.37,4.27,1.5214388717485696
-0.37,4.26,1.518098461655487
-0.36,4.26,1.5198630813819523
-0.36,4.25,1.516522671283498
-0.35,4.25,1.5182872910144873
-0.34,4.25,1.520055671048952
-0.34,4.24,1.5167152216802953
-0.33,4.24,1.5184793030743324
-0.32,4.24,1.5202433844713295
-0.32,4.23,1.5169029351011494
-0.31,4.23,1.5186670164929175
-0.3,4.23,1.5204310978864837
-0.3,4.22,1.517103028308354
-0.29,4.22,1.5188717586167633
-0.28,4.22,1.5206402448979324
-0.28,4.21,1.5173016518181281
-0.27,4.21,1.519072780308737
-0.26,4.21,1.5208439088217303
-0.26,4.2,1.517505315740141
-0.25,4.2,1.5192764442111444
-0.24,4.2,1.521047572682148
-0.24,4.19,1.5177145641055023
-0.23,4.19,1.5194914265150998
-0.22,4.19,1.5212682889465727
-0.22,4.18,1.517929688004663
-0.21,4.18,1.5197065504329568
-0.2,4.18,1.5215063077349809
-0.2,4.17,1.5181708889831829
-0.19,4.17,1.5199554745809938
-0.19,4.16,1.5166200560448826
-0.18,4.16,1.5184129787806102
-0.17,4.16,1.5202025813549807
-0.17,4.15,1.5168780897522764
-0.16,4.15,1.518667692235403
-0.15,4.15,1.5204572948089454
-0.15,4.14,1.5171328032076998
-0.14,4.14,1.5189387087902422
-0.13,4.14,1.5207410264122339
-0.13,4.13,1.5174164796985594
-0.12,4.13,1.5192187972928162
-0.11,4.13,1.5210211148832578
-0.11,4.12,1.5176164532573484
-0.1,4.12,1.519373167357674
-0.09,4.12,1.5211298829605542
-0.09,4.11,1.5178520325593863
-0.08,4.11,1.519736587056389
-0.07,4.11,1.5214671099611305
-0.07,4.1,1.5182516022019048
-0.06,4.1,1.5199821250639953
-0.06,4.09,1.5167666169012413
