U_In-5p,U_Sb-5p,a(A),Eg(eV),meff
1.5,1.8,6.4675398082020585,0.223921166935158,0.013880068472469186
1.55,1.8,6.4649590878771175,0.23266795733211063,0.014408213226773593
1.6,1.8,6.462416054030456,0.2413253833171781,0.014930497326774797
1.6,1.75,6.464483674897808,0.2259408710923333,0.01402660296328516
1.65,1.75,6.461916278036086,0.23467443037429894,0.014554846476818399
1.7,1.75,6.459359444912049,0.24339191132534982,0.01508177072242155
1.7,1.7,6.461420338587782,0.2280495224771222,0.014179534306617432
1.75,1.7,6.458848430330371,0.23681791419732534,0.014710911513005508
1.8,1.7,6.45627223064943,0.24561126781050785,0.015243267916260227
1.8,1.65,6.458317438224078,0.230334663435859,0.014344191281306245
1.85,1.65,6.455732063000836,0.2391636051734476,0.014880094199160303
1.85,1.6,6.457785121935106,0.22389307747435785,0.013978478119460762
1.9,1.6,6.455199832020866,0.23273100090197496,0.014516589727775035
1.95,1.6,6.452615552201039,0.2415773845250236,0.015054836852647413
1.95,1.55,6.454680190951619,0.22630062370913293,0.014151862576083474
2.0,1.55,6.452090205305711,0.2351719007328029,0.014693240497630988
2.05,1.55,6.449495425523389,0.24407078391733764,0.015235699701115072
2.05,1.5,6.451419328536812,0.22920441267084052,0.014356249701449395
2.1,1.5,6.448803468021033,0.23817107413376343,0.014904265080641178
2.15,1.5,6.446181092810411,0.24716664860366494,0.015453700463680727
2.15,1.45,6.448202085499244,0.23205858668774978,0.014559197508143128
2.2,1.45,6.445579068972658,0.24106926967678036,0.015111045530048486
2.2,1.4,6.44760193548417,0.22598298504788913,0.014214778813647659
2.25,1.4,6.444968515944466,0.23502938237469717,0.014770487733062618
2.3,1.4,6.442326580620363,0.24411434158474146,0.015327890339425616
2.3,1.35,6.444339358109886,0.22908337433832146,0.014433894693781155
2.35,1.35,6.441692878274915,0.23818851245821157,0.014994376334932101
2.35,1.3,6.443707664311348,0.22318010416218614,0.014098893539958923
2.4,1.3,6.441042544376976,0.232344654798893,0.01466472730924777
2.45,1.3,6.438357496429258,0.24158009560016727,0.01523380574348434
2.45,1.25,6.4403263750957205,0.22672342995531503,0.014346869887302502
2.5,1.25,6.437647758542764,0.23594947059517205,0.01491723395936715
2.55,1.25,6.434977311970579,0.24516639098006726,0.01548684699964985
2.55,1.2,6.436981629410566,0.23023773645695675,0.014594552169483577
2.6,1.2,6.434324213269139,0.2394278939576981,0.01516439994073569
