U_Ga-4p,U_As-4p,a(A),Eg(eV),meff
0.5,3.8,5.599595296810674,1.5224782167851425,0.07462030054253034
0.5,3.75,5.600661025737486,1.5072378678862715,0.07403700978826684
0.55,3.75,5.598771042227007,1.5164256902936495,0.0744504733806851
0.6,3.75,5.596888256232757,1.525593574717207,0.07480649533449489
0.6,3.7,5.598203823988834,1.5093311421803048,0.07423912997815396
0.65,3.7,5.59631673418127,1.5185211173881097,0.07466972888398357
0.7,3.7,5.594416917393621,1.5277760985433626,0.07507171502267036
0.7,3.65,5.5957408273787665,1.5114947348907137,0.07444720371621397
0.75,3.65,5.593836099577398,1.5207781199337225,0.07486737689598255
0.8,3.65,5.591932082017466,1.5300668451026735,0.07528779535135716
0.8,3.6,5.593252509165341,1.5138154193535345,0.07466476119031436
0.85,3.6,5.5913430284908525,1.5231348933101665,0.07508787733419832
0.85,3.55,5.592665658571674,1.5068919428887064,0.07446395367810797
0.9,3.55,5.590848569576018,1.5158335879659395,0.07487333879417772
0.95,3.55,5.588916407764553,1.52526340452913,0.07522766848772308
0.95,3.5,5.590238287943564,1.5090400367907881,0.07467950012950388
1.0,3.5,5.5883060101546524,1.5184762237893334,0.07565042808033105
1.05,3.5,5.5863708165570936,1.5279355125330325,0.07554253693092708
1.05,3.45,5.587554978702504,1.5123029679158009,0.07494361790432902
1.1,3.45,5.585631035358339,1.5217231583603805,0.07537555380609423
1.15,3.45,5.5837158215827944,1.531116686022804,0.07580646012516354
1.15,3.4,5.585042178720745,1.5149068464680469,0.07518451748101852
1.2,3.4,5.583116397635855,1.5243523044984588,0.07561905272035697
1.2,3.35,5.584436698651158,1.5081857549070146,0.07499760676361907
1.25,3.35,5.582507663317621,1.5176520367878932,0.0754345702263342
1.3,3.35,5.580575005256321,1.527143111193261,0.07587267279771281
1.3,3.3,5.581888335150795,1.5110219199666655,0.07525326601031453
1.35,3.3,5.579946048595256,1.5205612528487775,0.07569490968020652
1.4,3.3,5.577999995371201,1.5301251953817065,0.07613771230233435
1.4,3.25,5.579534688301811,1.513095525086408,0.07548147912022565
1.45,3.25,5.577595855589265,1.5226357963317032,0.07592498922182439
1.45,3.2,5.578912551352376,1.506536398442158,0.07530521397585319
1.5,3.2,5.576974407541277,1.5160818298701904,0.0757505596969624
1.55,3.2,5.575041935601855,1.525613544263159,0.07619549112001482
1.55,3.15,5.5763642185731435,1.50950675627489,0.0755756651106576
1.6,3.15,5.574415778952415,1.5191133529608079,0.07602528685404344
1.65,3.15,5.572472098689673,1.5287084249500762,0.07647463321082272
1.65,3.1,5.573786988891541,1.512649577707969,0.07585699171274392
1.7,3.1,5.571836227833912,1.5222826373491114,0.07630961679645319
1.7,3.05,5.573158979022423,1.5062090187158355,0.07569002179446789
1.75,3.05,5.571204315925555,1.5158666099990072,0.07614538517793748
1.8,3.05,5.569251280454722,1.5255258777159575,0.07660093469275162
1.8,3.0,5.570572100674041,1.5094779694099523,0.07598267335616436
